Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Titan,Neo Analog Silver Dial Men's Watch NM1734WL01/NN1734WL01/NP1734WL01,4.2 out of 5 stars,456,"₹4,795","₹5,995",(20% off)
boAt,"boAt Wave Call 2 with 1.83” HD Display, Advanced BT Calling, Functional Crown, Cloud & Custom Watch Faces, Multiple Sports Modes, IP67, HR, Sleep & SPO₂ Monitor Smart Watch(Midnight Black)",4.2 out of 5 stars,127,"₹1,399","₹6,999",(80% off)
TIMEX,Brass Men's Round Blue Dial Brown Strap Analog Watch - TW000U913,4.3 out of 5 stars,674,"₹4,095",na,na
Fastrack,Tripster Analog Black Dial Men's Watch 3245NM01/NN3245NM01,4.0 out of 5 stars,145,"₹2,395","₹2,995",(20% off)
Casio,Youth-Combination Analog-Digital Gold Dial Men's Watch - AEQ-110BW-9AVDF (AD206),4.4 out of 5 stars,"1,497","₹4,395",na,na
Sonata,Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W,4.2 out of 5 stars,"2,052",₹849,na,na
Fire-Boltt,"Fire-Boltt Rise Smart Watch, 1.85"" HD Display, Metal Body with Bluetooth Calling, Rotating Crown, AI Voice Assistant, 120 Sports Modes, Neon UI, SpO2 & Heart Rate Monitoring (Black-C)",3.7 out of 5 stars,"1,764","₹1,299","₹14,999",(91% off)
Titan,Neo Splash Quartz Multifunction Black Dial Metallic Brown Stainless Steel Strap Watch for Men - NT1805QM04,4.0 out of 5 stars,169,"₹6,235","₹7,795",(20% off)
Titan,"Titan Crest 1.43” AMOLED Smart Watch with BT Calling, AI Morning Briefs, Functional Crown, Health Tracking, Aluminium Body, 100+ Sports Modes, Smartwatch for Men and Women - Black Silicone Strap",3.7 out of 5 stars,"1,234","₹5,998","₹11,995",(50% off)
Noise,"NoiseFit Halo 1.43"" AMOLED Display, Bluetooth Calling Round Dial Smart Watch, Premium Metallic Build, Always on Display, Smart Gesture Control, 100 Sports Modes (Vintage Brown)",4.0 out of 5 stars,"8,347","₹2,999","₹7,999",(63% off)
Titan,Titan Neo Analog Black Dial Men's Watch NM1733KM01/NN1733KM01,4.3 out of 5 stars,880,"₹5,115","₹5,745",(11% off)
Titan,Analog Men's Watch (Dial Colored Strap),4.1 out of 5 stars,737,"₹2,545","₹3,745",(32% off)
Fastrack,Men Tick Tock Quartz Analog White Dial Leather Strap Watch for Guys-3287KL02/NT3287KL02,4.4 out of 5 stars,6,"₹2,875","₹3,595",(20% off)
Titan,analog Silver Dial Men's Watch NM1712YM01/NN1712YM01/NP1712YM01,4.2 out of 5 stars,404,"₹1,595","₹1,995",(20% off)
Titan,Octane Analog Silver Dial Men's Watch-NL1650BM03/NP1650BM03,4.2 out of 5 stars,"1,288","₹2,970","₹3,715",(20% off)
Fastrack,Men Tick Tock Quartz Analog White Dial Leather Strap Watch for Guys-3287KL02/NT3287KL02,4.4 out of 5 stars,6,"₹2,875","₹3,595",(20% off)
Noise,"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Jet Black)",3.8 out of 5 stars,814,"₹1,399","₹4,999",(72% off)
Sonata,SF Digital Dial Plastic Strap Watch for Men-NS77073PP02/NT77073PP02,4.3 out of 5 stars,"1,567",₹695,na,na
Giordano,"Multi-Function Analog Watch for Men with Textured Dial, Classic Stainless Steel Strap and Date Function",3.7 out of 5 stars,6,"₹4,902","₹11,400",(57% off)
Casio,Youth Series Digital Black Dial Men AE-1500WH-8BVDF (D219),4.5 out of 5 stars,605,"₹2,495",na,na
Titan,Analog Gold Dial Men's Watch NM1650YM04/NN1650YM04/NP1650YM04,4.3 out of 5 stars,"1,612","₹2,532","₹3,165",(20% off)
Fossil,Fossil Analog Black Dial Men's Watch - FS5447,4.0 out of 5 stars,"4,154","₹7,995","₹9,995",(20% off)
Fastrack,Party Analog Silver Dial Men's Watch-NL1474SM01/NP1474SM01,4.0 out of 5 stars,"2,625","₹3,495",na,na
Matrix,Minimalist Grey Dial with Softest Silicone Strap Analog Wrist Watch for Men & Boys,4.6 out of 5 stars,15,₹399,"₹1,999",(80% off)
Fastrack,Fastrack Stunners Quartz Analog Peacock Green Dial Brown Leather Strap Watch for Guys - 3278SL03,4.3 out of 5 stars,271,"₹1,395",na,na
Titan,Men's Strap Watch (Black),4.2 out of 5 stars,"1,053","₹1,795","₹1,995",(10% off)
Titan,Analog Brown Dial Men's Watch NM1584SL04/NN1584SL04/NP1584SL04,4.2 out of 5 stars,"1,068","₹2,395","₹2,995",(20% off)
Titan,Gents Karishma Analog Brown Dial Men's Watch NM1824KM01/NN1824KM01,4.2 out of 5 stars,224,"₹3,395","₹4,245",(20% off)
Fossil,Fossil Chronograph Black Dial and Band Men's Stainless Steel Watch-BQ2364,4.1 out of 5 stars,"1,632","₹7,496","₹12,495",(40% off)
Casio,Youth Digital Analog-Digital Black Dial Men's Watch - HDC-700-3AVDF (D155),4.2 out of 5 stars,718,"₹3,995",na,na
Fastrack,Vyb Arcane Quartz Analog Black Dial Watch for Men,5.0 out of 5 stars,2,"₹2,092","₹2,990",(30% off)
Fastrack,Analog Silver Dial Men's Watch-NM38017PL02 / NL38017PL02/NP38017PL02,3.9 out of 5 stars,"1,041","₹2,460","₹2,895",(15% off)
Casio,Youth-Combination Analog-Digital Black Dial Men's Watch - AEQ-110W-2AVDF (AD208),4.3 out of 5 stars,833,"₹3,295",na,na
Noise,"Noise Vortex Plus 1.46 AMOLED Display, AoD, BT Calling, Sleek Metal Finish, 7 Days Battery Life, All New OS with 100+ Watch Faces & Health Suite (Black)",4.0 out of 5 stars,"53,884","₹2,199","₹6,999",(69% off)
Fastrack,"Fastrack Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Beige)",3.8 out of 5 stars,"4,328","₹1,498","₹2,799",(46% off)
Fossil,Fossil Analog Off-White Dial Brown Band Men's Stainless Steel Watch-FS5380,4.5 out of 5 stars,"1,432","₹12,495","₹12,995",(4% off)
Shocknshop,Silver Stainless Steel Analog Square Dial Date Display Wrist Watch for Men -PGNI85,3.7 out of 5 stars,275,₹425,"₹1,949",(78% off)
Casio,Enticer Men MTP-1374D-2A3VDF Analog Blue Dial Men (A2346),4.8 out of 5 stars,5,"₹5,995",na,na
Fastrack,Fastrack Vyb Quartz Analog Silver Dial Steel Sheet Metal Strap Watch for Men-FV30002SM01W,4.3 out of 5 stars,30,"₹1,424","₹2,035",(30% off)
Fastrack,Fastfit Analog Black Dial Men's Watch-3224NL01/NP3224NL01,4.2 out of 5 stars,188,"₹4,075","₹5,095",(20% off)
V2A,Chronograph Ultra-Thin Unisex Multi Function Digital Sports Watch for Boy ANG Girls | Watch for Women | Wrist Watch for Men | Kid's Watch | Watches,3.9 out of 5 stars,"1,832",₹599,"₹1,499",(60% off)
