Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
GRECIILOOKS,Shirt for Men | Mens Casual Shirt | Men Stylish Shirt | Men Textured Shirt | Men's Regular Fit | Men Formal Shirt | Men's Solid Slim Fit,4.8 out of 5 stars,101,₹429,"₹1,999",(79% off)
Raymond,Men's Pure Cotton Structure Pattern Slim Fit Semi Cutaway Collar Full Sleeve Formal Shirt,4.7 out of 5 stars,4,"₹1,035","₹2,299",(55% off)
Majestic Man,Men Slim Fit Pure Cotton Checkred Half Sleeve Casual Shirt,4.0 out of 5 stars,206,₹499,"₹1,499",(67% off)
Majestic Man,Men Comfort Slim Fit Pure Cotton Tartan Checked Casual Shirt,4.2 out of 5 stars,60,₹449,"₹1,499",(70% off)
ROYALSCOUT,"Combo of 2 Textured Shirts for Men | Long Sleeves Perfect for Smart Workwear, Relaxed Outings, or Formal Occasions",4.3 out of 5 stars,65,₹899,₹449.50,(64% off)
Van Heusen,Men's Solid Slim Fit Shirt,1.0 out of 5 stars,1,"₹1,499","₹2,599",(42% off)
Pinkmint,"Cotton Blend Casual Shirt for Men Combo Shirt for Formal Wear, Regular Home Wear",3.2 out of 5 stars,232,₹599,"₹1,999",(70% off)
Diverse,Men's Printed Slim Fit Formal Shirt,3.5 out of 5 stars,49,₹501.72,"₹1,199",(58% off)
Majestic Man,Comfort Slim Fit Pure Cotton Checked Casual Shirt,4.1 out of 5 stars,47,₹449,"₹1,499",(70% off)
Dennis Lingo,Men's Cotton Slim Fit Shirt,3.9 out of 5 stars,"3,595",₹650,"₹2,499",(74% off)
Pinkmint,Men's Solid Regular Fit Shirt (Pack of 3),3.3 out of 5 stars,70,₹749,"₹1,999",(63% off)
Lymio,Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Shirt (Tiedite-Shirt),3.7 out of 5 stars,118,₹449,"₹2,999",(85% off)
SaintX,Men's Premium Solid Formal Shirt | Slim Fit | Plain Full Sleeve | Feather Touch Soft Finish | Wrinkle Resistant | 360° Highly Stretchable Fabric | Office/Party,3.9 out of 5 stars,19,₹999,"₹2,499",(60% off)
Allen Solly,Men's 100% Cotton Slim Fit Full Sleeve Checkered Formal Shirt,4.0 out of 5 stars,109,"₹1,019","₹1,899",(46% off)
Peter England,Men Cotton Slim Fit Shirt,4.0 out of 5 stars,3,₹760.11,"₹1,599",(52% off)
Van Heusen,Men's Slim Fit Premium Business Formals 100% Cotton Print Shirt,5.0 out of 5 stars,1,"₹1,127","₹2,299",(51% off)
